127.0.0.1 - - [27/Jul/2024:15:14:53 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/thu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/faceboock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/inta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 25645
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/tintuc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/sale.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/Home5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/home33.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/home%202.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:57 +0700] "GET /WebBanDungCuTheThao/IMG/cu%E1%BB%91i.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:14:58 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:02 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_Pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-GT7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/ProductsServlet HTTP/1.1" 200 66380
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-6DA.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-T6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-T4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-T5A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/XD%20Pro-5099.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-T6D.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/xe-dap-tap-the-duc-Pro-09-3-300x300.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/xe-dap-tap-580R-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/xe-dap-the-duc-s500-600x600-1-300x300.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/gian-ta-da-nang-JL-MP-18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/hinh-anh-gian-ta-da-nang-BP-HK168-300x300.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/gian-ta-da-nang-jl-k1-300x300.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/gian-ta-da-nang-hq-808p-300x300.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/Gian-ta-da-nang-HQ-908s-2-300x300.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/xe-dap-tap-the-duc-TechGym-1700.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:03 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/K18.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:07 +0700] "POST /WebBanDungCuTheThao/CartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:07 +0700] "GET /WebBanDungCuTheThao/Cart.jsp HTTP/1.1" 200 32738
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:07 +0700] "GET /WebBanDungCuTheThao/IMG/zalo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:10 +0700] "GET /WebBanDungCuTheThao/PayServlet?action=processPayment HTTP/1.1" 200 32888
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:15 +0700] "GET /WebBanDungCuTheThao/ProductsServlet HTTP/1.1" 200 66380
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:23 +0700] "POST /WebBanDungCuTheThao/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:23 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 26087
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:30 +0700] "GET /WebBanDungCuTheThao/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:30 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 25645
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:37 +0700] "POST /WebBanDungCuTheThao/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:37 +0700] "GET /WebBanDungCuTheThao/Admin.jsp HTTP/1.1" 200 21939
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:40 +0700] "GET /WebBanDungCuTheThao/DanhSachLoaiSanPhamServlet HTTP/1.1" 200 19926
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:43 +0700] "GET /WebBanDungCuTheThao/DanhSachSanPhamServlet HTTP/1.1" 200 70632
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:49 +0700] "GET /WebBanDungCuTheThao/DanhSachUserServlet HTTP/1.1" 200 18765
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:51 +0700] "GET /WebBanDungCuTheThao/DanhSachUserServlet HTTP/1.1" 200 18765
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:53 +0700] "GET /WebBanDungCuTheThao/DSDonHangServlet HTTP/1.1" 200 20833
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:15:54 +0700] "GET /WebBanDungCuTheThao/DanhSachUserServlet HTTP/1.1" 200 18765
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:16:00 +0700] "GET /WebBanDungCuTheThao/DSDonHangServlet HTTP/1.1" 200 20833
