127.0.0.1 - - [23/Jul/2024:13:27:01 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:03 +0700] "GET /WebBanDungCuTheThao/IMG/home33.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:03 +0700] "GET /WebBanDungCuTheThao/IMG/home%202.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:03 +0700] "GET /WebBanDungCuTheThao/IMG/Home5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:03 +0700] "GET /WebBanDungCuTheThao/IMG/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:03 +0700] "GET /WebBanDungCuTheThao/IMG/cu%E1%BB%91i.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:03 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 25324
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:03 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:18 +0700] "POST /WebBanDungCuTheThao/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:18 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 25766
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_Pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-GT7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-T4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-T6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/ProductsServlet HTTP/1.1" 200 66004
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-6DA.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-T5A.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-T6D.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/XD%20Pro-5099.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/xe-dap-the-duc-s500-600x600-1-300x300.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:21 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/xe-dap-tap-580R-2.jpg HTTP/1.1" 304 -
