127.0.0.1 - - [20/Jul/2024:12:21:14 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 18701
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/thu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/faceboock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/inta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/tintuc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/sale.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/Home5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/home33.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/home%202.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:15 +0700] "GET /WebBanDungCuTheThao/IMG/cu%E1%BB%91i.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:16 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:20 +0700] "GET /WebBanDungCuTheThao/ProductsServlet HTTP/1.1" 200 58611
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:20 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_Pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:20 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-GT7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:20 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-6DA.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2024:12:21:20 +0700] "GET /WebBanDungCuTheThao/IMG/IMG_SanPham/MCB_DL-T5A.jpg HTTP/1.1" 304 -
